,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
  Private Chartered Bus/Van Only,44883,15645,2940,25866,7374,6945,1046,786,1849,131,1581,2679,1880,538,144,914,432,28361,9639,2380,16111,4963,4700,617,437,755,75,999,1900,623,256,85,703,231,16522,6006,560,9755,2411,2245,429,349,1094,56,582,779,1257,282,60,211,201,
  Lorry/Pickup Only,28894,4469,7330,16649,7105,3798,900,200,130,234,850,2180,298,137,63,755,446,25879,3907,6941,14622,6215,3596,643,183,117,217,746,1973,184,80,23,646,409,3016,562,390,2027,890,203,257,17,14,17,104,207,114,57,40,109,37,
  Motorcycle/Scooter Only,73487,11845,4340,55200,7393,11542,3501,2181,3452,1579,3464,5369,10866,2774,1275,1803,2102,67155,11315,4230,49524,6638,11038,2944,1974,3115,1531,3172,5012,9700,1629,1125,1647,2085,6332,530,110,5675,755,504,557,207,337,47,292,357,1166,1145,149,156,17,
  Others,34937,5655,1265,27424,4845,4972,3259,652,1779,492,1306,3464,3382,1637,502,1135,592,24158,4132,1063,18460,3230,4281,1583,349,1041,349,868,2885,2118,540,427,787,504,10779,1523,203,8965,1615,691,1676,303,737,143,437,579,1263,1097,75,348,89,
  No Transport Required,212907,10625,5557,195918,28719,67434,15461,8445,7781,4897,14608,9986,16693,13070,1751,7073,807,122462,5309,3052,113606,12780,61784,4970,4922,4197,2207,7770,4798,5170,1809,748,2451,495,90445,5316,2505,82312,15939,5650,10491,3523,3584,2691,6838,5188,11523,11261,1003,4622,312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data exclude employed persons who were overseas for at least 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 24/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
