,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (General Household Survey 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousands,
  Lorry/Pickup Only,42.8,6.4,12.2,23.1,11.2,4.7,1.6,0.1,0.3,0.2,1.6,2.2,0.3,0,0,0.7,1.1,38.4,5.7,11.9,19.8,9.4,4.5,0.9,0.1,0.3,0.2,1.4,1.9,0.2,0,0,0.7,1,4.4,0.7,0.3,3.4,1.8,0.2,0.8,0,0,0,0.2,0.2,0.1,0,0,0,0.1,
  Motorcycle/Scooter Only,73.2,11.8,5.6,53.8,8.6,12.4,4,1.5,3,1.5,3.5,4.7,9.8,1.4,1.3,2,2,68.7,11.1,5.5,50.1,8.2,12.2,3.4,1.5,2.7,1.4,3,4.5,9,1.1,1.2,1.9,2,4.5,0.7,0.1,3.7,0.4,0.3,0.6,0.1,0.2,0.2,0.5,0.2,0.7,0.3,0.1,0.1,0,
  Others,32.1,5.3,1.8,24.1,5.2,3.9,2.8,0.4,1.4,0.8,0.9,3.5,3.2,1,0.5,0.6,0.8,22.8,4.1,1.6,16.5,3.5,3.2,1.1,0.3,1,0.6,0.6,2.6,2.2,0.5,0.3,0.5,0.6,9.3,1.3,0.2,7.6,1.7,0.7,1.6,0,0.4,0.2,0.3,0.9,1,0.5,0.2,0.1,0.2,
  No Transport Required,182.7,9.9,6.7,165.1,34.4,45.1,16.3,5.5,4.4,4.2,11.1,8.3,16.9,11.1,1.5,6.4,1.1,94.3,4.3,3,86.4,13.3,41.3,5.6,3.1,2.7,1.9,5.5,3.4,5.6,1.5,0.7,1.9,0.6,88.4,5.5,3.7,78.7,21.1,3.8,10.7,2.4,1.7,2.4,5.6,4.9,11.3,9.6,0.8,4.5,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data exclude working persons who were overseas for more than 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Includes Agriculture, Fishing, Quarrying, Utilities and Sewerage & Waste Management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 24/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
