,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (Census of Population 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
  Private Chartered Bus/Van Only,67985,26906,4962,35201,11720,7435,2084,1319,1443,314,2409,2889,2972,725,368,1523,916,42922,16104,4518,21603,7951,4931,1240,828,558,141,1537,2005,797,227,221,1166,697,25063,10802,444,13598,3769,2504,844,490,885,172,872,885,2176,498,147,357,219,
  Lorry/Pickup Only,42298,7045,11722,22398,10425,5281,1363,219,103,179,1146,1925,369,123,87,1179,1133,38498,6228,11304,19877,9090,5127,987,205,83,172,1029,1779,253,44,56,1052,1089,3800,817,418,2521,1334,154,376,14,20,6,117,147,115,79,31,127,44,
  Motorcycle/Scooter Only,72132,13544,5233,51504,8034,12350,4160,1954,1698,1366,2813,4755,9519,1154,1467,2234,1851,67318,12775,5125,47604,7370,11996,3684,1804,1447,1274,2626,4448,8695,788,1395,2077,1814,4814,768,108,3900,664,354,477,150,251,92,186,306,824,366,72,157,37,
  Others,116482,21879,5060,87818,17033,12828,6632,5045,6345,2379,6781,6358,15385,4087,2101,2844,1725,69441,14370,3957,49682,9371,9456,3299,3023,2892,1292,3763,4351,8696,907,1046,1585,1431,47041,7509,1103,38135,7662,3372,3333,2022,3453,1086,3018,2007,6688,3179,1056,1259,294,
  No Transport Required,140245,9580,2959,126969,23236,39302,14191,3755,2809,3567,6342,5996,13651,7606,1484,5029,737,78698,4730,1613,71871,10387,37068,5009,2360,1646,1718,3472,2780,4463,821,599,1547,484,61547,4850,1346,55097,12849,2234,9182,1395,1163,1849,2869,3216,9188,6785,885,3483,253,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data exclude working persons who were overseas for at least 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* 'Others' includes Agriculture, Fishing, Quarrying, Utilities and Sewerage & Waste Management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 24/05/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
